課程主類別,課程副類別,課程次類別,課程名稱,報名人次總計
人文類,人文藝術,手作工藝,"""[""原住民""]""視覺設計系列""－""文化創意夢想起飛",2008
人文類,人文藝術,手作工藝,"""[""原住民""]""視覺設計系列""－""傳統工藝技術與商品結合",8183
人文類,人文藝術,手作工藝,"""[""原住民""]""蔡宜錦""－""時尚原住民特色產品",4004
人文類,人文藝術,手作工藝,"""[""原住民""]""盧春華""－""彩繪藝術與原住民創意商品",2689
人文類,人文藝術,手作工藝,"""[""環境教育""]""環保 健康 生活手工皂",3461
人文類,人文藝術,手作工藝,"方佩玲""－""紙黏土創意課程",379
人文類,人文藝術,手作工藝,"年節花藝DIY""－""中華郵政提供",409
人文類,人文藝術,手作工藝,"李文壽""－""漫談印石文物1",585
人文類,人文藝術,手作工藝,"李文壽""－""漫談印石文物2",495
人文類,人文藝術,手作工藝,"李承澔""－""當代藝術及氣球創作",254
人文類,人文藝術,手作工藝,"花園輕手作""－""蝶古巴特的運用",722
人文類,人文藝術,手作工藝,"金屬工藝""－""臺北市職能發展學院提供",381
人文類,人文藝術,手作工藝,金屬線編織飾品,728
人文類,人文藝術,手作工藝,書法基礎教學,928
人文類,人文藝術,手作工藝,"張克晉""－""漢唐風華1",399
人文類,人文藝術,手作工藝,"張克晉""－""漢唐風華2",325
人文類,人文藝術,手作工藝,"曹蕙蘭""－""基礎押花",372
人文類,人文藝術,手作工藝,"詹淑女""－""客家工藝""－""童玩巧手",1674
人文類,人文藝術,手作工藝,"臺北燈節""－""阮慶岳""、""張元茜""、""吳瑪俐""－""我們永遠得不到永遠""－""新媒體藝術與公共空間的短暫交會",209
人文類,人文藝術,手作工藝,"臺北燈節""－""桂雅文""－""文化治理的實踐""－""全球文化公部門的格局與視野",216
人文類,人文藝術,手作工藝,篆刻與篆書,882
人文類,人文藝術,文化與文學,"""[""原住民""]""科學與原住民文化的對話",1305
人文類,人文藝術,文化與文學,"""[""原住民""]""原住民山林草藥智慧""－""行政院原住民族委員會提供",3159
人文類,人文藝術,文化與文學,"""[""原住民""]""原住民飲食文化",1208
人文類,人文藝術,文化與文學,"""[""原住民""]""臺北凱達格蘭族的追尋",1711
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民各族傳統樂器製作""－""行政院原住民族委員會提供",786
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民防衛與武器""－""行政院原住民族委員會提供",759
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民族建築智慧""－""行政院原住民族委員會提供",996
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民族傳統生活祭儀""－""行政院原住民族委員會提供",1387
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民族傳統生計型態介紹""－""行政院原住民族委員會提供",1086
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民族傳統成年禮介紹""－""行政院原住民族委員會提供",1131
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民族傳統部落與祖靈聖地""－""行政院原住民族委員會提供",4932
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民族圖紋與工藝飾品的介紹""－""行政院原住民族委員會提供",1222
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民歌""（""童""）""謠與舞蹈介紹""－""行政院原住民族委員會提供",1591
人文類,人文藝術,文化與文學,"""[""原住民""]""認識原住民文化與特質""－""行政院人事行政總處公務人力發展學院提供",9094
人文類,人文藝術,文化與文學,"""[""環境教育""]""一次搞懂文山區文化資產",877
人文類,人文藝術,文化與文學,"""[""環境教育""]""民俗好好看",922
人文類,人文藝術,文化與文學,"""[""環境教育""]""原住民建築文化",1770
人文類,人文藝術,文化與文學,"""[""環境教育""]""探查萬華""─""文化保存之旅",1810
人文類,人文藝術,文化與文學,"八芝蘭""─""士林區發展史",280
人文類,人文藝術,文化與文學,大散文•小筆記,269
人文類,人文藝術,文化與文學,大稻埕的故事,423
人文類,人文藝術,文化與文學,中國文學詩詞賞析,1316
人文類,人文藝術,文化與文學,"日據時期的臺灣美術""－""國立公共資訊圖書館提供",537
人文類,人文藝術,文化與文學,"永遠的印象派畫家""─""莫內",558
人文類,人文藝術,文化與文學,多元文化閱讀的推動,530
人文類,人文藝術,文化與文學,"吳祥輝""－""從芬蘭驚豔到驚歎愛爾蘭""－""用詩人的心在歷史中旅行",736
人文類,人文藝術,文化與文學,"吳德朗""－""影響印度人的史詩",308
人文類,人文藝術,文化與文學,"李俊輝""－""靜觀自得""－""談中國人的書畫旨趣與鑑賞方法",406
人文類,人文藝術,文化與文學,"林邱琇環""－""賞愛蘇東坡1",328
人文類,人文藝術,文化與文學,"林邱琇環""－""賞愛蘇東坡2",324
人文類,人文藝術,文化與文學,版畫與手工藝術,891
人文類,人文藝術,文化與文學,"邱琇環""─""老子的智慧",430
人文類,人文藝術,文化與文學,"邱琇環""－""順自然通造化""－""說莊子寓言故事",359
人文類,人文藝術,文化與文學,"客家人的音樂""－""不只是山歌""（""上""）""",857
人文類,人文藝術,文化與文學,"客家人的音樂""－""不只是山歌""（""下""）""",1083
人文類,人文藝術,文化與文學,客家音樂與戲劇,3807
人文類,人文藝術,文化與文學,"客家語言與文化""－""文化篇",5503
人文類,人文藝術,文化與文學,"客家語言與文化""－""客家之美",19141
人文類,人文藝術,文化與文學,"徐貴榮""－""客家文化介紹",639
人文類,人文藝術,文化與文學,"旅遊記憶""－""詩歌與畫",1378
人文類,人文藝術,文化與文學,"基隆河""─""南港文史探尋",253
人文類,人文藝術,文化與文學,"基隆河錫口社庄""─""松山地區故事",234
人文類,人文藝術,文化與文學,"陳芳明""－""台灣文學發展及華文世界位置",0
人文類,人文藝術,文化與文學,"須文蔚""－""台灣後現代詩",592
人文類,人文藝術,文化與文學,"漢字文化論壇""－""王榮文""、""張光民""、""何志焜""－""漢字plus""－""臺灣的文化創意",250
人文類,人文藝術,文化與文學,"漢字文化論壇""－""林谷芳""、""林磐聳""、""陳永基""－""舞文弄墨""－""文字中的線條與色彩",237
人文類,人文藝術,文化與文學,"漢字文化論壇""－""南方朔""、""許學仁""、""蔡英俊""－""漢遊天下""－""漢字的國際性",267
人文類,人文藝術,文化與文學,"漢字文化講堂""－""林保淳""－""金庸武俠小說的文字魅力",362
人文類,人文藝術,文化與文學,"漢字文化講堂""－""張茂鴻""、""陳梅安""－""一茶一世界",282
人文類,人文藝術,文化與文學,"漢字文化講堂""－""陳光憲""、""黃登山""－""正體字與古典詩文",221
人文類,人文藝術,文化與文學,"漢字文化講堂""－""鄭向恆""－""詩詞曲賞析",292
人文類,人文藝術,文化與文學,臺北采風•中山區文史風情,255
人文類,人文藝術,文化與文學,臺北信義區開拓古道文史,268
人文類,人文藝術,文化與文學,"臺灣新住民文化介紹""－""行政院人事行政總處公務人力發展中心提供",1519
人文類,人文藝術,文化與文學,"劉慧貞""－""客家文學""－""客舍青青",1400
人文類,人文藝術,文化與文學,審美人,232
人文類,人文藝術,文化與文學,"鄭窈窕""－""與書共舞，讀寫感悟",224
人文類,人文藝術,文化與文學,"駱以軍""－""台灣當代小說",0
人文類,人文藝術,文化與文學,"簡媜""－""從見面禮到吃朋友""－""談兩本書兼生活美學之感悟",450
人文類,人文藝術,文化與文學,"聽障奧運""－""聽障奧運的歷史與發展",299
人文類,人文藝術,文化與文學,"聽障奧運""－""聾人文化",331
人文類,人文藝術,形象美學,"美人彩妝""－""中華郵政提供",459
人文類,人文藝術,形象美學,"美容課程""－""觀念基礎篇""－""中華郵政股份有限公司提供",554
人文類,人文藝術,形象美學,"個人形象美學系列""－""李貞宜""－""個人基因色彩分析",815
人文類,人文藝術,形象美學,"個人形象美學系列""－""李貞宜""－""個人開運色彩設計",313
人文類,人文藝術,形象美學,"個人形象美學系列""－""李貞宜""－""魅力宴會華麗妝""（""日宴""）""",385
人文類,人文藝術,形象美學,"個人形象美學系列""－""張麗淑""－""各髮類的種類介紹與應用",576
人文類,人文藝術,形象美學,"個人形象美學系列""－""張麗淑""－""真髮組合應用與編髮技巧",444
人文類,人文藝術,形象美學,"個人形象美學系列""－""張麗淑""－""剪髮技巧與實務操作",784
人文類,人文藝術,形象美學,"個人形象美學系列""－""郭月霞""－""深層清潔敷臉技巧示範與練習",268
人文類,人文藝術,形象美學,"個人形象美學系列""－""黃勇誌""－""手部及足部深層保養",302
人文類,人文藝術,形象美學,"個人形象美學系列""－""廖秀祝""－""指甲概論與彩繪造型",1056
人文類,人文藝術,形象美學,"個人形象美學系列""－""廖秀祝""－""彩繪指甲",262
人文類,人文藝術,形象美學,"個人形象美學系列""－""廖秀祝""－""眼睛修飾畫法與假睫毛裝戴技巧",515
人文類,人文藝術,形象美學,"國際禮儀""－""中華郵政股份有限公司提供",415
人文類,人文藝術,形象美學,基礎繪畫,1506
人文類,人文藝術,形象美學,"驚豔你的視界""－""認識色彩學""－""高雄市政府公務人力發展中心提供",675
人文類,人文藝術,城市與建築,"""[""環境教育""]""大愛發現系列""─""建築變形記""－""大愛衛星電視股份有限公司提供",0
人文類,人文藝術,城市與建築,"""[""環境教育""]""在故事與綠意的轉角""－""發現南港新體驗",2463
人文類,人文藝術,城市與建築,"""[""環境教育""]""江哲銘""－""舊建築""、""新生命""－""永續健康建築趨勢",4599
人文類,人文藝術,城市與建築,"""[""環境教育""]""見證大稻埕的風華",2540
人文類,人文藝術,城市與建築,"""[""環境教育""]""穿城之水""－""找尋失落的水圳記憶",996
人文類,人文藝術,城市與建築,"""[""環境教育""]""認識臺灣走透透""－""傳統建築擺設器物",1883
人文類,人文藝術,城市與建築,"""[""環境教育""]""環保軌跡低碳建築""－""行政院人事行政總處公務人力發展學院提供",6992
人文類,人文藝術,城市與建築,"""【""都市再生學苑系列""】""106年度臺北市社區營造人才培訓計畫核心課程""－""Open Green的前世今生""－""臺北市都市更新處提供",1632
人文類,人文藝術,城市與建築,"""【""都市再生學苑系列""】""106年度臺北市社區營造人才培訓計畫核心課程""－""社區影像 看見不一樣的社區""－""臺北市都市更新處提供",1810
人文類,人文藝術,城市與建築,"""【""都市再生學苑系列""】""106年度臺北市社區營造人才培訓計畫核心課程""－""社區營造是什麼？""－""臺北市都市更新處提供",2404
人文類,人文藝術,城市與建築,住宅設計與工程實務,260
人文類,人文藝術,城市與建築,"金光裕""、""張清華""－""花博建築的美麗力量",488
人文類,人文藝術,城市與建築,"城市美學""－""張基義""－""當代建築與城市發展",252
人文類,人文藝術,城市與建築,"城市美學""－""張基義""－""歐美當代建築",263
人文類,人文藝術,城市與建築,"城市美學""－""陳其澎""－""城市美學系列理論基礎與實務",391
人文類,人文藝術,城市與建築,"城市美學""－""曾光宗""－""根植於文化的日本城市美學系列",480
人文類,人文藝術,城市與建築,"城市美學""－""曾梓峰""－""城市自明性",197
人文類,人文藝術,城市與建築,"城市美學""－""曾梓峰""－""城市的綠",201
人文類,人文藝術,城市與建築,"城市美學""－""蒼井夏樹""－""借鏡日本""－""打造臺北美的競爭力",263
人文類,人文藝術,城市與建築,"城市美學""－""羅時瑋""－""能量驅動型都市主義",244
人文類,人文藝術,城市與建築,"城市美學""－""龔書章""－""中國當代建築",279
人文類,人文藝術,城市與建築,"城市美學""－""龔書章""－""臺灣當代建築",462
人文類,人文藝術,城市與建築,"做好社區溝通""－""社區整合與提案",2802
人文類,人文藝術,城市與建築,"組織信任力""：""達成目標的極速能量""－""高雄市政府公務人力發展中心提供",452
人文類,人文藝術,城市與建築,"都巿生活""─""從公共生活看城巿空間",454
人文類,人文藝術,城市與建築,智慧城市應用實例與現況發展,907
人文類,人文藝術,城市與建築,"漢寶德""－""如何欣賞建築",580
人文類,人文藝術,悠遊生活,"水彩畫家沈國仁""－""國立空中大學提供",119
人文類,人文藝術,悠遊生活,"無障礙旅遊的超級領隊鄭淑勻""－""國立空中大學提供",202
人文類,人文藝術,烹飪飲食,"""[""原住民""]""許建翔""、""劉妙華""－""中式簡餐製作2""－""泰雅狩獵飯""、""打那雞湯""、""豬肉水餃",3684
人文類,人文藝術,烹飪飲食,"""[""原住民""]""麥順英""－""原住民創意糕點伴手禮製作",2652
人文類,人文藝術,烹飪飲食,"月子餐備製""－""臺北市職能發展學院提供",1111
人文類,人文藝術,烹飪飲食,"王嘉平""－""義大利麵體驗工坊",575
人文類,人文藝術,烹飪飲食,米酒與水果酒之釀造,549
人文類,人文藝術,烹飪飲食,"低碳健康行一起來蔬飲""－""行政院人事行政總處公務人力發展學院提供",809
人文類,人文藝術,烹飪飲食,辛香類蔬菜栽培技巧,782
人文類,人文藝術,烹飪飲食,食安下的臺灣旅行,1312
人文類,人文藝術,烹飪飲食,家庭芽菜栽培,638
人文類,人文藝術,烹飪飲食,"浦秀芳""－""虹吸式咖啡",446
人文類,人文藝術,烹飪飲食,健康精品咖啡在我家,1628
人文類,人文藝術,烹飪飲食,這樣吃魚最健康,568
人文類,人文藝術,烹飪飲食,"陳慧珠""－""中式簡餐製作1""－""南瓜鮮味焗烤""、""酒釀共嬋娟",613
人文類,人文藝術,烹飪飲食,當代十大茶法,1068
人文類,人文藝術,烹飪飲食,"詹益淵""－""甜麵包製作",739
人文類,人文藝術,烹飪飲食,"詹益淵""－""硬式麵包製作",447
人文類,人文藝術,烹飪飲食,"謝維權""－""客家美食""－""饕客基因",2457
人文類,人文藝術,戲劇音樂舞蹈,"""[""原住民""]""米干幹理佛克""－""原住民族文化之美""－""語言""、""神話""、""舞蹈""、""音樂",1772
人文類,人文藝術,戲劇音樂舞蹈,"RickyQ""－""印度學舞之酸甜苦辣談2",318
人文類,人文藝術,戲劇音樂舞蹈,"人文素養""：""啟動音樂人生""－""行政院人事行政總處公務人力發展學院提供",921
人文類,人文藝術,戲劇音樂舞蹈,"日據時期的臺灣音樂""－""國立公共資訊圖書館提供",472
人文類,人文藝術,戲劇音樂舞蹈,"陳霖蒼""－""京劇簡介""－""談筱派藝術家陳永玲",552
人文類,人文藝術,戲劇音樂舞蹈,"黃美瑜""－""印度學舞之酸甜苦辣談1",360
人文類,人文藝術,戲劇音樂舞蹈,"傳統音樂與曼妙肢體的對話""－""民族舞蹈",626
人文類,人文藝術,戲劇音樂舞蹈,歌仔戲研習,765
人文類,人文藝術,攝影,"手機拍攝人像""－""臺北市職能發展學院提供",1514
人文類,人文藝術,攝影,"文山草堂""－""國立空中大學提供",503
人文類,人文藝術,攝影,"美食拍攝訣竅""－""臺北市職能發展學院提供",1240
人文類,人文藝術,攝影,"展現臺北風華""－""林瑞興""－""基礎攝影概論",637
人文類,人文藝術,攝影,"展現臺北風華""－""林瑞興""－""認識數位相機與周邊器材",713
人文類,人文藝術,攝影,"展現臺北風華""－""林瑞興""－""攝影技法介紹",1266
人文類,人文藝術,攝影,"靜態商品拍攝""－""臺北市職能發展學院提供",1408
人文類,生命教育,生命關懷,"生命教育系列""－""吳東權""－""來得糊塗走要瀟灑",1813
人文類,生命教育,生命關懷,"生命教育系列""－""杜英輝""－""人生最後一場盛會""－""身後事規劃",786
人文類,生命教育,生命關懷,"生命教育系列""－""周守民""－""讓生命美到最後",3310
人文類,生命教育,生命關懷,"用愛化解恐懼""－""談生老病死的生命智慧",1020
人文類,生命教育,生命關懷,"張莉英""－""悲傷輔導",1428
人文類,生命教育,生命關懷,"單國璽""─""人生必修的一堂課""─""如何面對死亡",729
人文類,生命教育,生命關懷,"新移民生活輔導系列""－""生育保健",1314
人文類,生命教育,生命關懷,"新移民生活輔導系列""－""生活經驗分享""（""外籍""）""",1134
人文類,生命教育,生命關懷,"新移民生活輔導系列""－""生活經驗分享""（""陸籍""）""",1504
人文類,生命教育,生命關懷,"蕭武桐""－""生命價值與生死觀",910
人文類,生命教育,生命關懷,瀕死徵象評估與照顧,2095
人文類,生命教育,生命關懷,靈性照顧經驗分享,2017
人文類,生命教育,勵志心靈,"王建?""－""點亮生命",1172
人文類,生命教育,勵志心靈,"白秀雄""－""社會關懷，參與志願服務",1428
人文類,生命教育,勵志心靈,"朱延平""－""電影人生",720
人文類,生命教育,勵志心靈,"李錫津""－""小兵立大功",1558
人文類,生命教育,勵志心靈,"盲人與法律人""─""視障者卓越人才講座",501
人文類,生命教育,勵志心靈,音樂與我的人生,690
人文類,生命教育,勵志心靈,"孫震""－""人生的探索與選擇",1210
人文類,生命教育,勵志心靈,"逆光築夢．逐夢飛翔""─""視障者卓越人才講座",702
人文類,生命教育,勵志心靈,"高銘和""－""攀登高峰，創造燦爛人生",2911
人文類,生命教育,勵志心靈,"梅襄陽""－""觀?轉個彎生命無限寬",1624
人文類,生命教育,勵志心靈,"游乾桂""－""放手就有桃花源",1674
人文類,生命教育,勵志心靈,"湯健明""－""大愛讓世界亮起來",1037
人文類,生命教育,勵志心靈,給你勇氣，珍愛生命,827
人文類,生命教育,勵志心靈,"跨越視界．夢想起飛""─""視障者卓越人才講座",1059
人文類,生命教育,勵志心靈,"劉必榮""－""國際觀""－""決定您的世界有多大",1489
人文類,生命教育,勵志心靈,"隨緣隨喜""─""任爸的故事",859
人文類,生命教育,勵志心靈,"戴勝益""－""三哇人生",1504
人文類,生命教育,勵志心靈,"點燈系列""－""因為愛不再爆走""－""爆走廚房的故事",1
人文類,生命教育,勵志心靈,"點燈系列""－""你不孤單",1
人文類,生命教育,勵志心靈,"點燈系列""－""我的孩子不是廢棄品""－""林明修的再生藝術",1
人文類,生命教育,勵志心靈,"點燈系列""－""我的喜劇人生""－""趙舜的故事",1
人文類,生命教育,勵志心靈,"點燈系列""－""我的廣播．我的人生""－""石元娜的故事",2
人文類,生命教育,勵志心靈,"點燈系列""－""走過莫拉克，看見曙光",1
人文類,生命教育,勵志心靈,"點燈系列""－""明年你們還會再回來嗎？顏妙桂的故事",1
人文類,生命教育,勵志心靈,"點燈系列""－""東海長青玫瑰""－""羅芳華的故事",3
人文類,生命教育,勵志心靈,"點燈系列""－""為偏鄉孩子圓夢""－""傻瓜劇團的傻勁",1
人文類,生命教育,勵志心靈,"點燈系列""－""音樂．蝴蝶．夢",1
人文類,生命教育,勵志心靈,"讓生命亮起來系列""─""朱學恆""─""三贏的創意人生",0
人文類,生命教育,勵志心靈,"讓生命亮起來系列""─""江偉君""─""輪椅主播",0
人文類,生命教育,勵志心靈,"讓生命亮起來系列""─""何厚華""─""生命轉彎處",0
人文類,生命教育,勵志心靈,"讓生命亮起來系列""─""余秀芷""─""堅持就會看見希望",0
人文類,生命教育,勵志心靈,"讓生命亮起來系列""─""宋睿祥""─""無國界醫師行醫記",0
人文類,生命教育,勵志心靈,"讓生命亮起來系列""─""沈芯菱""─""打造知識公益，以行動愛天下",0
人文類,生命教育,勵志心靈,"讓生命亮起來系列""─""東方比利""：""一個浪子找愛的故事",0
人文類,生命教育,勵志心靈,"讓生命亮起來系列""─""林智勝""─""強棒出擊",0
人文類,生命教育,勵志心靈,"讓生命亮起來系列""─""林睦卿""─""單腳舞動人生",0
人文類,生命教育,勵志心靈,"讓生命亮起來系列""─""夏學曼""─""最後的旅程",0
人文類,生命教育,勵志心靈,"讓生命亮起來系列""─""張平宜""─""用愛打造""「""四川麻瘋小學""」""",0
人文類,生命教育,勵志心靈,"讓生命亮起來系列""─""劉大潭""─""廢物利用",0
人文類,生命教育,勵志心靈,"讓生命亮起來系列""─""撒可努""─""獵人在都市",0
人文類,生命教育,勵志心靈,"讓生命亮起來系列""─""盧慶武""─""人生的單行道",0
人文類,生命教育,勵志心靈,"讓生命亮起來系列""─""薛以柔""─""美麗新""「""視界""」""",0
人文類,自然科普,天文地理,"""[""微課程""]""等待15年，火星近了！",99
人文類,自然科普,天文地理,"""[""環境教育""]""NASA地球任務""─""從太空看地球",5559
人文類,自然科普,天文地理,"""[""環境教育""]""由天地玄黃宇宙洪荒""－""談天體碰撞與人類歷史",1244
人文類,自然科普,天文地理,"""[""環境教育""]""地震教我們的事",3273
人文類,自然科普,天文地理,"""[""環境教育""]""阿塔卡馬沙漠上的天文台—ALMA",781
人文類,自然科普,天文地理,"""[""環境教育""]""哇！宇宙怎麼有那麼大",1097
人文類,自然科普,天文地理,"""[""環境教育""]""氣象與防災",5977
人文類,自然科普,天文地理,"""[""環境教育""]""從《蘭譜》發現日據時期養蘭之風氣""－""國立公共資訊圖書館提供",407
人文類,自然科普,天文地理,"""[""環境教育""]""創造者對基隆河的雕琢""－""河口到源頭走一趟",1255
人文類,自然科普,天文地理,"""[""環境教育""]""臺灣特殊地景賞析""－""石話實說",2315
人文類,自然科普,天文地理,"天文年談星""－""吳昆臻""－""天狗食日",839
人文類,自然科普,天文地理,"天文年談星""－""趙瑞青""－""天文年來數星星",814
人文類,自然科普,天文地理,望遠鏡發展史,1483
人文類,自然科普,天文地理,淺談彗星攝影,944
人文類,自然科普,天文地理,"游淑慧""－""居家設計風水主義",896
人文類,自然科普,天文地理,"網路公民的 力量""－""如何在網路世界參與天文研究",961
人文類,自然科普,天文地理,"臺灣的糖業""－""國立公共資訊圖書館提供",370
人文類,自然科普,天文地理,"韓良露""－""南村落的夏至節氣生活美學",729
人文類,自然科普,環境生態,"""[""環境教育""]""""【""107年專班""】""桃園市政府環境保護局環境清潔稽查大隊環保志工特殊教育訓練",12623
人文類,自然科普,環境生態,"""[""環境教育""]""360環景""－""士林區原野博物記趣",2105
人文類,自然科普,環境生態,"""[""環境教育""]""360環景""－""中正區府城風華巡禮",1601
人文類,自然科普,環境生態,"""[""環境教育""]""360環景""－""北投區人文自然紀行",2230
人文類,自然科普,環境生態,"""[""環境教育""]""Hot剋任務""─""愛地球關鍵行動",1008
人文類,自然科普,環境生態,"""[""環境教育""]""大立菊培育與繁殖",570
人文類,自然科普,環境生態,"""[""環境教育""]""大立菊繼續課程",566
人文類,自然科普,環境生態,"""[""環境教育""]""大愛發現系列""─""Taiwan海洋百年風華""－""大愛衛星電視股份有限公司提供",0
人文類,自然科普,環境生態,"""[""環境教育""]""大愛發現系列""─""大自然的染色家""－""大愛衛星電視股份有限公司提供",0
人文類,自然科普,環境生態,"""[""環境教育""]""大愛發現系列""─""台北盆地大事件""－""大愛衛星電視股份有限公司提供",0
人文類,自然科普,環境生態,"""[""環境教育""]""大愛發現系列""─""活水""－""大愛衛星電視股份有限公司提供",0
人文類,自然科普,環境生態,"""[""環境教育""]""大愛發現系列""─""基隆河的故事""－""大愛衛星電視股份有限公司提供",0
人文類,自然科普,環境生態,"""[""環境教育""]""大愛發現系列""─""都市環境生物指標""－""大愛衛星電視股份有限公司提供",0
人文類,自然科普,環境生態,"""[""環境教育""]""大愛發現系列""─""溪流裡的精靈""－""大愛衛星電視股份有限公司提供",0
人文類,自然科普,環境生態,"""[""環境教育""]""大愛發現系列""─""還我風華""－""當古蹟遇上科技""－""大愛衛星電視股份有限公司提供",1
人文類,自然科普,環境生態,"""[""環境教育""]""內湖生態學",688
人文類,自然科普,環境生態,"""[""環境教育""]""北投好好""─""文化生態生活",804
人文類,自然科普,環境生態,"""[""環境教育""]""打造我們的田園夢""─""社區園圃的規劃與基礎建置",11449
人文類,自然科普,環境生態,"""[""環境教育""]""本土雜糧復耕進行曲",2192
人文類,自然科普,環境生態,"""[""環境教育""]""瓜豆果菜容器栽培技術",1958
人文類,自然科普,環境生態,"""[""環境教育""]""生物多樣性創新生活""－""實例篇""－""行政院人事行政總處公務人力發展學院提供",271
人文類,自然科普,環境生態,"""[""環境教育""]""生態工程設計及監督實務與缺失案例解說""－""行政院公共工程委員會提供",1395
人文類,自然科普,環境生態,"""[""環境教育""]""生態城市營造實例與現況發展",2540
人文類,自然科普,環境生態,"""[""環境教育""]""生態觀察輕鬆行""－""常見野菜介紹",2880
人文類,自然科普,環境生態,"""[""環境教育""]""田野調查和社區營造",684
人文類,自然科普,環境生態,"""[""環境教育""]""全球農學風""－""自己的飯碗自己顧",873
人文類,自然科普,環境生態,"""[""環境教育""]""因應全球暖化""－""節能減碳",2937
人文類,自然科普,環境生態,"""[""環境教育""]""在城市把菜種好""－""種菜的眉眉角角",14217
人文類,自然科普,環境生態,"""[""環境教育""]""在轉角遇到Astronomy ""－""日常生活裡的天文",1477
人文類,自然科普,環境生態,"""[""環境教育""]""多肉植物繁殖與栽培",918
人文類,自然科普,環境生態,"""[""環境教育""]""如影隨形的塑化劑""－""從""「""保鮮膜""」""談起",911
人文類,自然科普,環境生態,"""[""環境教育""]""宇宙的顫抖",9677
人文類,自然科普,環境生態,"""[""環境教育""]""守護一條溪塑造珍愛鄉土的人民",658
人文類,自然科普,環境生態,"""[""環境教育""]""有機病蟲害綜合防治",938
人文類,自然科普,環境生態,"""[""環境教育""]""走出來的海洋環境教育",6831
人文類,自然科普,環境生態,"""[""環境教育""]""辛香類蔬菜容器栽培技術",2859
